date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:49:49	1381773/1381773	---M--	200	added ('OK')	image/gif	etag:%22082d9ce7c76ff62aa7a03b9f19db3709%22	https://files.sitestatic.net/ImageFile/6219e2588a8db_jokislot138-logo-gif.gif	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/files.sitestatic.net/ImageFile/6219e2588a8db_jokislot138-logo-gif.gif	(from https://chetslottt.vercel.app/?fbclid=IwAR1J9D8Q5Z3cMKz39UdnMhTbOSZWCSTnzPLQRzQ6SvrwahKFav9dHuQ3o0M)
03:49:49	146/146	---M--	200	added ('OK')	text/html	etag:%228eec510e57f5f732fd2cce73df7b73ef%22	https://chetslottt.vercel.app/css/ui-bg_highlight-soft_75_cccccc_1x100.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/css/ui-bg_highlight-soft_75_cccccc_1x100.html	(from https://chetslottt.vercel.app/css/jquery-ui.css)
03:49:49	146/146	---M--	200	added ('OK')	text/html	etag:%228eec510e57f5f732fd2cce73df7b73ef%22	https://chetslottt.vercel.app/css/ui-bg_glass_75_e6e6e6_1x400.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/css/ui-bg_glass_75_e6e6e6_1x400.html	(from https://chetslottt.vercel.app/css/jquery-ui.css)
03:49:50	146/146	---M--	200	added ('OK')	text/html	etag:%228eec510e57f5f732fd2cce73df7b73ef%22	https://chetslottt.vercel.app/css/ui-bg_glass_75_dadada_1x400.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/css/ui-bg_glass_75_dadada_1x400.html	(from https://chetslottt.vercel.app/css/jquery-ui.css)
03:49:50	146/146	---M--	200	added ('OK')	text/html	etag:%228eec510e57f5f732fd2cce73df7b73ef%22	https://chetslottt.vercel.app/css/ui-bg_glass_65_ffffff_1x400.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/css/ui-bg_glass_65_ffffff_1x400.html	(from https://chetslottt.vercel.app/css/jquery-ui.css)
03:49:50	146/146	---M--	200	added ('OK')	text/html	etag:%228eec510e57f5f732fd2cce73df7b73ef%22	https://chetslottt.vercel.app/css/ui-bg_glass_55_fbf9ee_1x400.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/css/ui-bg_glass_55_fbf9ee_1x400.html	(from https://chetslottt.vercel.app/css/jquery-ui.css)
03:49:51	146/146	---M--	200	added ('OK')	text/html	etag:%228eec510e57f5f732fd2cce73df7b73ef%22	https://chetslottt.vercel.app/css/ui-bg_glass_95_fef1ec_1x400.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/css/ui-bg_glass_95_fef1ec_1x400.html	(from https://chetslottt.vercel.app/css/jquery-ui.css)
03:49:51	146/146	---M--	200	added ('OK')	text/html	etag:%228eec510e57f5f732fd2cce73df7b73ef%22	https://chetslottt.vercel.app/css/ui-icons_222222_256x240.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/css/ui-icons_222222_256x240.html	(from https://chetslottt.vercel.app/css/jquery-ui.css)
03:49:51	146/146	---M--	200	added ('OK')	text/html	etag:%228eec510e57f5f732fd2cce73df7b73ef%22	https://chetslottt.vercel.app/css/ui-icons_454545_256x240.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/css/ui-icons_454545_256x240.html	(from https://chetslottt.vercel.app/css/jquery-ui.css)
03:49:52	146/146	---M--	200	added ('OK')	text/html	etag:%228eec510e57f5f732fd2cce73df7b73ef%22	https://chetslottt.vercel.app/css/ui-icons_2e83ff_256x240.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/css/ui-icons_2e83ff_256x240.html	(from https://chetslottt.vercel.app/css/jquery-ui.css)
03:49:52	146/146	---M--	200	added ('OK')	text/html	etag:%228eec510e57f5f732fd2cce73df7b73ef%22	https://chetslottt.vercel.app/css/ui-icons_cd0a0a_256x240.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/css/ui-icons_cd0a0a_256x240.html	(from https://chetslottt.vercel.app/css/jquery-ui.css)
03:49:53	146/146	---M--	200	added ('OK')	text/html	etag:%228eec510e57f5f732fd2cce73df7b73ef%22	https://chetslottt.vercel.app/css/ui-icons_888888_256x240.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/css/ui-icons_888888_256x240.html	(from https://chetslottt.vercel.app/css/jquery-ui.css)
03:49:53	3670/3670	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Feb%202024%2020:49:52%20GMT	https://chetslottt.vercel.app/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.12.1/css/all.min.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.12.1/css/all.min.html	(from https://chetslottt.vercel.app/css/style.css)
03:49:53	3670/3670	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Feb%202024%2020:49:53%20GMT	https://chetslottt.vercel.app/i.imgur.com/VtVycxM.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/i.imgur.com/VtVycxM.html	(from https://chetslottt.vercel.app/css/style.css)
03:49:53	146/146	---M--	200	added ('OK')	text/html	etag:%228eec510e57f5f732fd2cce73df7b73ef%22	https://chetslottt.vercel.app/css/images/recaptcha_blue-circle-anim.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/css/images/recaptcha_blue-circle-anim.html	(from https://chetslottt.vercel.app/css/style.css)
03:49:54	146/146	---M--	200	added ('OK')	text/html	etag:%228eec510e57f5f732fd2cce73df7b73ef%22	https://chetslottt.vercel.app/css/images/recaptcha_blue-circle-loading-anim.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/css/images/recaptcha_blue-circle-loading-anim.html	(from https://chetslottt.vercel.app/css/style.css)
03:49:54	146/146	---M--	200	added ('OK')	text/html	etag:%228eec510e57f5f732fd2cce73df7b73ef%22	https://chetslottt.vercel.app/css/images/recaptcha_checkmark.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/css/images/recaptcha_checkmark.html	(from https://chetslottt.vercel.app/css/style.css)
03:49:54	146/146	---M--	200	added ('OK')	text/html	etag:%228eec510e57f5f732fd2cce73df7b73ef%22	https://chetslottt.vercel.app/images/navbg.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/images/navbg.html	(from https://chetslottt.vercel.app/css/style.css)
03:49:55	3670/3670	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Feb%202024%2020:49:54%20GMT	https://chetslottt.vercel.app/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://chetslottt.vercel.app/iframe.html)
